FIRETYPE,SEASON,FIRE_NO,NAME,START_DATE,STRTDATIT,TREAT_TYPE,FIREKEY,DSE_ID,CFA_ID,AREA_HA,latitude,longitude
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.75373595,141.2900836
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.75338799,141.2847731
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.75318476,141.2942848
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.75318395,141.2946166
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.75149593,141.2430674
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.02,-35.75304925,141.2943949
BUSHFIRE,1964,FC64/437,,,19640101,FIRE,W196406FC64/437,,,8.7834,-37.72078006,146.8352459
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.75291455,141.2941732
BUSHFIRE,1938,999,,,19380101,FIRE,W193804999,,,152.631,-38.13279076,141.8403469
BUSHFIRE,1938,999,,,19380101,FIRE,W193804999,,,82.3286,-38.12099694,141.7617382
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.75228206,141.2947239
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.74760856,141.2481432
BUSHFIRE,1938,999,,,19380101,FIRE,W193804999,,,73.8493,-38.03733152,141.4628237
BUSHFIRE,1938,999,,,19380101,FIRE,W193804999,,,464.3283,-38.02279267,141.4503708
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.74596918,141.2559907
BUSHFIRE,1938,999,,,19380101,FIRE,W193804999,,,124.8263,-37.9653809,141.0128107
BUSHFIRE,1938,999,,,19380101,FIRE,W193804999,,,129.4348,-37.88670354,141.0788329
BUSHFIRE,1964,FC64/437,,,19640101,FIRE,W196406FC64/437,,,6.4845,-37.69923295,146.8808363
BUSHFIRE,1942,999,,,19420101,FIRE,W194204999,,,2032.7554,-37.91750496,141.0111736
BUSHFIRE,1963,999,,,19630101,FIRE,W196304999,,,476.0429,-37.7211958,141.4080157
BUSHFIRE,1927,999,,,19270101,FIRE,W192799999,,,21020.4696,-37.69056101,145.2915737
BUSHFIRE,1932,2,,,19320101,FIRE,W193207002,,,42.0352,-34.96587973,141.6702
BUSHFIRE,1939,999,,,19390101,FIRE,W193901999,,,10492.6935,-37.69946384,147.4842486
BUSHFIRE,1939,999,,,19390101,FIRE,W193903999,,,1298.5551,-37.82817123,145.4074027
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.74518879,141.2409468
BUSHFIRE,1927,,,,19270101,FIRE,,,,76.5815,-39.03073417,146.3090826
BUSHFIRE,1938,999,,,19380101,FIRE,W193804999,,,60.1127,-38.25103181,141.5371757
BUSHFIRE,1938,999,,,19380101,FIRE,W193804999,,,244.7827,-38.15078354,141.8167431
BUSHFIRE,1932,2,,,19320101,FIRE,W193207002,,,17450.3586,-34.8371405,142.1199685
BUSHFIRE,1936,999,,,19360101,FIRE,W193604999,,,81.3677,-38.26131102,141.5067116
BUSHFIRE,1936,999,,,19360101,FIRE,W193604999,,,446.7705,-38.18709565,141.557193
BUSHFIRE,1936,999,,,19360101,FIRE,W193604999,,,78.6634,-38.02433814,141.0969762
BUSHFIRE,1936,999,,,19360101,FIRE,W193604999,,,85.1254,-38.0107738,141.0667874
BUSHFIRE,1938,999,,,19380101,FIRE,W193804999,,,90.4193,-38.27336538,141.5297972
BUSHFIRE,1938,999,,,19380101,FIRE,W193804999,,,71.0174,-38.25957046,141.5242889
BUSHFIRE,1939,999,,,19390101,FIRE,W193903999,,,3900.8429,-37.74790893,145.2180621
